"Age","Checking Account Status","Credit Amount","Credit History","Duration in month","Housing","Installment rate in % of disposable income","Job type","Number of dependents","Number of existing credits","Other installment plans","Personal Status","Present Employment since","Present residence since","Property","Purpose","Savings Account/Bonds","Telephone","CreditRatingGood?"
42,"Less than 0 DM",2577,"existing credits paid back duly till now",12,"own",2,"skilled employee official",1,1,"none","male divorced separated","1 to 4 years",1,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","true"
52,"Less than 0 DM",338,"critical account other credits existing (not at this bank)",6,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"car or other not in attribute 6","radio television","500 to 1000 DM","none","true"
31,"no checking account",1963,"existing credits paid back duly till now",12,"rent",4,"management self-employed highly qualified employee officer",2,2,"none","male single","4 to 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
65,"Less than 0 DM",571,"critical account other credits existing (not at this bank)",21,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"real estate","new car","Less than 100 DM","none","true"
28,"no checking account",9572,"delay in paying off in the past",36,"own",1,"skilled employee official",1,2,"none","male divorced separated","Less than 1 year",1,"car or other not in attribute 6","business","Less than 100 DM","none","false"
30,"0 to 200 DM",4455,"delay in paying off in the past",36,"own",2,"management self-employed highly qualified employee officer",1,2,"stores","male divorced separated","1 to 4 years",2,"real estate","business","Less than 100 DM","yes registered under the customers name","false"
40,"Less than 0 DM",1647,"all credits at this bank paid back duly",21,"own",4,"unskilled - resident",2,2,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","new car","unknown no savings account","none","false"
50,"no checking account",3777,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"real estate","furniture equipment","Greater than 1000 DM","yes registered under the customers name","true"
36,"0 to 200 DM",884,"critical account other credits existing (not at this bank)",18,"own",4,"skilled employee official",2,1,"bank","male single","Greater than 7 years",4,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","false"
31,"no checking account",1360,"critical account other credits existing (not at this bank)",15,"own",4,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"building society savings agreement life insurance","radio television","Less than 100 DM","none","true"
74,"0 to 200 DM",5129,"all credits at this bank paid back duly",9,"for free",2,"management self-employed highly qualified employee officer",2,1,"bank","female divorced separated married","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","false"
68,"0 to 200 DM",1175,"critical account other credits existing (not at this bank)",16,"for free",2,"unemployed unskilled - non-resident",1,3,"none","male single","unemployed",3,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","true"
20,"Less than 0 DM",674,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male married widowed","4 to 7 years",1,"building society savings agreement life insurance","radio television","100 to 500 DM","none","false"
33,"0 to 200 DM",3244,"no credits taken all credits paid back duly",18,"own",1,"skilled employee official",1,2,"bank","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
54,"no checking account",4591,"existing credits paid back duly till now",24,"own",2,"management self-employed highly qualified employee officer",1,3,"none","male single","1 to 4 years",3,"building society savings agreement life insurance","business","Greater than 1000 DM","yes registered under the customers name","false"
34,"0 to 200 DM",3844,"no credits taken all credits paid back duly",48,"for free",4,"unskilled - resident",2,1,"none","male single","4 to 7 years",4,"unknown / no property","business","100 to 500 DM","none","false"
36,"0 to 200 DM",3915,"existing credits paid back duly till now",27,"own",4,"skilled employee official",2,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","yes registered under the customers name","false"
29,"no checking account",2108,"existing credits paid back duly till now",6,"rent",2,"skilled employee official",1,1,"none","male married widowed","4 to 7 years",2,"real estate","radio television","Less than 100 DM","none","true"
21,"0 to 200 DM",3031,"existing credits paid back duly till now",45,"rent",4,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"building society savings agreement life insurance","radio television","100 to 500 DM","none","false"
34,"0 to 200 DM",1501,"critical account other credits existing (not at this bank)",9,"own",2,"management self-employed highly qualified employee officer",1,2,"none","female divorced separated married","Greater than 7 years",3,"car or other not in attribute 6","education","Less than 100 DM","yes registered under the customers name","false"
28,"no checking account",1382,"critical account other credits existing (not at this bank)",6,"own",1,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",1,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
27,"0 to 200 DM",951,"existing credits paid back duly till now",12,"rent",4,"skilled employee official",1,4,"bank","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","furniture equipment","100 to 500 DM","none","false"
36,"0 to 200 DM",2760,"existing credits paid back duly till now",24,"for free",4,"skilled employee official",1,1,"bank","male single","Greater than 7 years",4,"unknown / no property","used car","unknown no savings account","yes registered under the customers name","true"
40,"0 to 200 DM",4297,"delay in paying off in the past",18,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male divorced separated","Greater than 7 years",3,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
52,"no checking account",936,"critical account other credits existing (not at this bank)",9,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","education","500 to 1000 DM","yes registered under the customers name","true"
27,"Less than 0 DM",1168,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",1,1,"none","male married widowed","1 to 4 years",3,"real estate","new car","Less than 100 DM","none","true"
26,"no checking account",5117,"delay in paying off in the past",27,"own",3,"skilled employee official",1,2,"none","male single","4 to 7 years",4,"car or other not in attribute 6","business","Less than 100 DM","none","true"
21,"Less than 0 DM",902,"existing credits paid back duly till now",12,"rent",4,"skilled employee official",1,1,"none","male married widowed","4 to 7 years",4,"building society savings agreement life insurance","retraining","Less than 100 DM","none","false"
38,"no checking account",1495,"critical account other credits existing (not at this bank)",12,"own",4,"unskilled - resident",2,2,"none","male single","Greater than 7 years",1,"real estate","new car","Less than 100 DM","none","true"
38,"Less than 0 DM",10623,"critical account other credits existing (not at this bank)",30,"for free",3,"management self-employed highly qualified employee officer",2,3,"none","male single","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","true"
43,"no checking account",1935,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,3,"none","male single","Greater than 7 years",4,"real estate","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
26,"0 to 200 DM",1424,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","domestic appliances","Less than 100 DM","none","true"
21,"Less than 0 DM",6568,"existing credits paid back duly till now",24,"own",2,"unskilled - resident",1,1,"stores","male married widowed","1 to 4 years",2,"car or other not in attribute 6","business","Less than 100 DM","none","true"
55,"no checking account",1413,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"building society savings agreement life insurance","used car","Greater than 1000 DM","none","true"
33,"no checking account",3074,"critical account other credits existing (not at this bank)",9,"own",1,"skilled employee official",2,2,"none","male single","1 to 4 years",2,"real estate","radio television","unknown no savings account","none","true"
45,"no checking account",3835,"existing credits paid back duly till now",36,"own",2,"unskilled - resident",1,1,"none","female divorced separated married","Greater than 7 years",4,"real estate","radio television","unknown no savings account","yes registered under the customers name","true"
50,"Less than 0 DM",5293,"no credits taken all credits paid back duly",27,"own",2,"skilled employee official",1,2,"stores","male single","unemployed",4,"building society savings agreement life insurance","business","Less than 100 DM","yes registered under the customers name","false"
66,"Greater than 200 DM",1908,"delay in paying off in the past",30,"own",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"real estate","business","Less than 100 DM","yes registered under the customers name","false"
51,"no checking account",3342,"critical account other credits existing (not at this bank)",36,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","radio television","unknown no savings account","yes registered under the customers name","true"
39,"0 to 200 DM",932,"critical account other credits existing (not at this bank)",6,"own",1,"unskilled - resident",1,2,"none","female divorced separated married","4 to 7 years",3,"building society savings agreement life insurance","retraining","unknown no savings account","none","true"
31,"Less than 0 DM",3104,"no credits taken all credits paid back duly",18,"own",3,"skilled employee official",1,1,"bank","male single","4 to 7 years",1,"building society savings agreement life insurance","business","Less than 100 DM","yes registered under the customers name","true"
23,"Greater than 200 DM",3913,"existing credits paid back duly till now",36,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","yes registered under the customers name","true"
24,"Less than 0 DM",3021,"existing credits paid back duly till now",24,"rent",2,"unskilled - resident",1,1,"none","male divorced separated","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","true"
64,"no checking account",1364,"existing credits paid back duly till now",10,"own",2,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"car or other not in attribute 6","new car","Less than 100 DM","yes registered under the customers name","true"
26,"0 to 200 DM",625,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",1,1,"bank","male married widowed","Less than 1 year",1,"real estate","radio television","Less than 100 DM","none","true"
23,"Less than 0 DM",1200,"existing credits paid back duly till now",12,"rent",4,"skilled employee official",1,1,"bank","female divorced separated married","1 to 4 years",4,"building society savings agreement life insurance","education","unknown no savings account","yes registered under the customers name","true"
30,"no checking account",707,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,2,"bank","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
32,"no checking account",2978,"delay in paying off in the past",24,"own",4,"skilled employee official",2,2,"none","male single","1 to 4 years",4,"real estate","business","unknown no savings account","yes registered under the customers name","true"
30,"no checking account",4657,"existing credits paid back duly till now",15,"own",3,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","true"
27,"no checking account",2613,"no credits taken all credits paid back duly",36,"own",4,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"car or other not in attribute 6","repairs","Less than 100 DM","none","true"
27,"0 to 200 DM",10961,"existing credits paid back duly till now",48,"own",1,"skilled employee official",1,2,"bank","male single","4 to 7 years",2,"unknown / no property","radio television","Greater than 1000 DM","yes registered under the customers name","false"
53,"Less than 0 DM",7865,"existing credits paid back duly till now",12,"for free",4,"management self-employed highly qualified employee officer",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
22,"no checking account",1478,"existing credits paid back duly till now",9,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
22,"Less than 0 DM",3149,"existing credits paid back duly till now",24,"for free",4,"skilled employee official",1,1,"bank","male single","Less than 1 year",1,"unknown / no property","furniture equipment","Less than 100 DM","none","true"
26,"Greater than 200 DM",4210,"existing credits paid back duly till now",36,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
51,"no checking account",2507,"existing credits paid back duly till now",9,"for free",2,"unskilled - resident",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","new car","500 to 1000 DM","none","true"
35,"no checking account",2141,"existing credits paid back duly till now",12,"own",3,"skilled employee official",1,1,"none","male single","4 to 7 years",1,"unknown / no property","radio television","100 to 500 DM","none","true"
25,"0 to 200 DM",866,"existing credits paid back duly till now",18,"own",4,"unskilled - resident",1,1,"none","male married widowed","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
42,"no checking account",1544,"critical account other credits existing (not at this bank)",4,"own",2,"unskilled - resident",2,3,"none","male single","4 to 7 years",1,"real estate","radio television","Less than 100 DM","none","true"
30,"Less than 0 DM",1823,"existing credits paid back duly till now",24,"own",4,"management self-employed highly qualified employee officer",2,1,"stores","male single","unemployed",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
23,"0 to 200 DM",14555,"existing credits paid back duly till now",6,"own",1,"unemployed unskilled - non-resident",1,1,"none","male single","unemployed",2,"building society savings agreement life insurance","new car","unknown no savings account","yes registered under the customers name","false"
61,"0 to 200 DM",2767,"existing credits paid back duly till now",21,"rent",4,"unskilled - resident",1,2,"bank","male divorced separated","Greater than 7 years",2,"car or other not in attribute 6","business","100 to 500 DM","none","false"
35,"no checking account",1291,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"building society savings agreement life insurance","radio television","Less than 100 DM","none","true"
39,"Less than 0 DM",2522,"existing credits paid back duly till now",30,"own",1,"skilled employee official",2,1,"none","male single","Greater than 7 years",3,"building society savings agreement life insurance","radio television","Less than 100 DM","none","true"
29,"Less than 0 DM",915,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"bank","female divorced separated married","Greater than 7 years",2,"car or other not in attribute 6","new car","unknown no savings account","none","false"
51,"no checking account",1595,"existing credits paid back duly till now",6,"own",3,"skilled employee official",2,1,"none","male single","4 to 7 years",2,"building society savings agreement life insurance","radio television","Less than 100 DM","none","true"
24,"Less than 0 DM",4605,"no credits taken all credits paid back duly",48,"for free",3,"skilled employee official",2,2,"none","male single","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","none","false"
27,"no checking account",1185,"critical account other credits existing (not at this bank)",12,"own",3,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"real estate","business","Less than 100 DM","none","true"
35,"no checking account",3447,"all credits at this bank paid back duly",12,"own",4,"unskilled - resident",2,1,"none","female divorced separated married","1 to 4 years",3,"real estate","retraining","500 to 1000 DM","none","true"
25,"no checking account",1258,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",1,"real estate","business","Less than 100 DM","yes registered under the customers name","true"
52,"no checking account",717,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,3,"none","male single","Greater than 7 years",4,"real estate","radio television","Less than 100 DM","none","true"
35,"no checking account",1204,"no credits taken all credits paid back duly",6,"rent",4,"skilled employee official",1,1,"bank","male single","1 to 4 years",1,"unknown / no property","new car","100 to 500 DM","none","true"
26,"Greater than 200 DM",1925,"existing credits paid back duly till now",24,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","true"
22,"no checking account",433,"existing credits paid back duly till now",18,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","unemployed",4,"real estate","radio television","Less than 100 DM","none","false"
39,"Less than 0 DM",666,"critical account other credits existing (not at this bank)",6,"own",3,"unskilled - resident",1,2,"none","female divorced separated married","4 to 7 years",4,"real estate","new car","Greater than 1000 DM","yes registered under the customers name","true"
46,"Greater than 200 DM",2251,"existing credits paid back duly till now",12,"own",1,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","true"
24,"0 to 200 DM",2150,"existing credits paid back duly till now",30,"own",4,"skilled employee official",1,1,"bank","female divorced separated married","1 to 4 years",2,"unknown / no property","new car","Less than 100 DM","none","false"
35,"no checking account",4151,"delay in paying off in the past",24,"own",2,"skilled employee official",1,2,"none","male single","1 to 4 years",3,"building society savings agreement life insurance","furniture equipment","100 to 500 DM","none","true"
24,"0 to 200 DM",2030,"existing credits paid back duly till now",9,"own",2,"skilled employee official",1,1,"none","male single","4 to 7 years",1,"car or other not in attribute 6","furniture equipment","unknown no savings account","yes registered under the customers name","true"
27,"0 to 200 DM",7418,"delay in paying off in the past",60,"own",1,"unskilled - resident",1,1,"none","male single","1 to 4 years",1,"real estate","radio television","unknown no savings account","none","true"
35,"no checking account",2684,"critical account other credits existing (not at this bank)",24,"own",4,"unskilled - resident",1,2,"none","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
29,"Less than 0 DM",2149,"all credits at this bank paid back duly",12,"for free",4,"skilled employee official",1,1,"none","male divorced separated","1 to 4 years",1,"unknown / no property","radio television","Less than 100 DM","none","false"
23,"no checking account",3812,"existing credits paid back duly till now",15,"own",1,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","used car","100 to 500 DM","yes registered under the customers name","true"
57,"no checking account",1154,"critical account other credits existing (not at this bank)",11,"own",4,"unskilled - resident",1,3,"none","female divorced separated married","unemployed",4,"real estate","radio television","100 to 500 DM","none","true"
27,"Less than 0 DM",1657,"existing credits paid back duly till now",12,"own",2,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","true"
55,"Less than 0 DM",1603,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"none","female divorced separated married","Greater than 7 years",4,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
36,"Less than 0 DM",5302,"critical account other credits existing (not at this bank)",18,"for free",2,"management self-employed highly qualified employee officer",1,3,"none","male single","Greater than 7 years",4,"unknown / no property","new car","Less than 100 DM","yes registered under the customers name","true"
57,"no checking account",2748,"critical account other credits existing (not at this bank)",12,"for free",2,"unskilled - resident",1,3,"bank","female divorced separated married","Greater than 7 years",4,"unknown / no property","education","Less than 100 DM","none","true"
32,"no checking account",1231,"critical account other credits existing (not at this bank)",10,"own",3,"unskilled - resident",2,2,"none","male single","Greater than 7 years",4,"real estate","new car","Less than 100 DM","none","true"
37,"0 to 200 DM",802,"existing credits paid back duly till now",15,"own",4,"skilled employee official",2,1,"none","male single","Greater than 7 years",3,"car or other not in attribute 6","radio television","Less than 100 DM","none","false"
36,"no checking account",6304,"critical account other credits existing (not at this bank)",36,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"real estate","business","unknown no savings account","none","true"
38,"no checking account",1533,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"stores","female divorced separated married","Less than 1 year",3,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","true"
45,"Less than 0 DM",8978,"existing credits paid back duly till now",14,"own",1,"management self-employed highly qualified employee officer",1,1,"none","male divorced separated","Greater than 7 years",4,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","false"
25,"no checking account",999,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,2,"none","male single","Greater than 7 years",2,"car or other not in attribute 6","radio television","unknown no savings account","none","true"
32,"no checking account",2662,"existing credits paid back duly till now",18,"own",4,"skilled employee official",1,1,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","new car","unknown no savings account","none","true"
37,"no checking account",1402,"critical account other credits existing (not at this bank)",12,"rent",3,"skilled employee official",1,1,"none","female divorced separated married","4 to 7 years",4,"car or other not in attribute 6","furniture equipment","500 to 1000 DM","yes registered under the customers name","true"
36,"0 to 200 DM",12169,"all credits at this bank paid back duly",48,"for free",4,"management self-employed highly qualified employee officer",1,1,"none","male single","unemployed",4,"unknown / no property","new car","unknown no savings account","yes registered under the customers name","true"
28,"0 to 200 DM",3060,"existing credits paid back duly till now",48,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",4,"real estate","radio television","Less than 100 DM","none","false"
34,"Less than 0 DM",11998,"existing credits paid back duly till now",30,"own",1,"unskilled - resident",1,1,"none","male divorced separated","Less than 1 year",1,"unknown / no property","repairs","Less than 100 DM","yes registered under the customers name","false"
32,"no checking account",2697,"existing credits paid back duly till now",9,"own",1,"skilled employee official",2,1,"none","male single","1 to 4 years",2,"real estate","radio television","Less than 100 DM","none","true"
26,"no checking account",2404,"critical account other credits existing (not at this bank)",18,"own",2,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",2,"car or other not in attribute 6","radio television","Less than 100 DM","none","true"
49,"Less than 0 DM",1262,"existing credits paid back duly till now",12,"own",2,"unskilled - resident",1,1,"none","male divorced separated","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","unknown no savings account","yes registered under the customers name","true"
32,"no checking account",4611,"existing credits paid back duly till now",6,"own",1,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","false"
29,"no checking account",1901,"existing credits paid back duly till now",24,"rent",4,"management self-employed highly qualified employee officer",1,1,"none","male single","1 to 4 years",4,"car or other not in attribute 6","radio television","100 to 500 DM","yes registered under the customers name","true"
23,"no checking account",3368,"critical account other credits existing (not at this bank)",15,"rent",3,"skilled employee official",1,2,"none","male single","Greater than 7 years",4,"unknown / no property","used car","Greater than 1000 DM","yes registered under the customers name","true"
50,"no checking account",1574,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,1,"none","male single","1 to 4 years",2,"real estate","furniture equipment","Less than 100 DM","none","true"
49,"Greater than 200 DM",1445,"all credits at this bank paid back duly",18,"own",4,"unskilled - resident",1,1,"bank","male single","4 to 7 years",4,"car or other not in attribute 6","radio television","unknown no savings account","none","true"
63,"no checking account",1520,"critical account other credits existing (not at this bank)",15,"own",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"building society savings agreement life insurance","furniture equipment","unknown no savings account","none","true"
37,"0 to 200 DM",3878,"critical account other credits existing (not at this bank)",24,"own",4,"skilled employee official",1,1,"none","male divorced separated","Less than 1 year",2,"car or other not in attribute 6","new car","100 to 500 DM","yes registered under the customers name","true"
35,"Less than 0 DM",10722,"existing credits paid back duly till now",47,"own",1,"unskilled - resident",1,1,"none","female divorced separated married","Less than 1 year",1,"real estate","new car","Less than 100 DM","yes registered under the customers name","true"
26,"Less than 0 DM",4788,"existing credits paid back duly till now",48,"own",4,"skilled employee official",2,1,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","used car","Less than 100 DM","none","true"
31,"0 to 200 DM",7582,"delay in paying off in the past",48,"for free",2,"management self-employed highly qualified employee officer",1,1,"none","male single","unemployed",4,"unknown / no property","used car0","100 to 500 DM","yes registered under the customers name","true"
49,"0 to 200 DM",1092,"existing credits paid back duly till now",12,"own",4,"skilled employee official",1,2,"none","female divorced separated married","1 to 4 years",4,"real estate","radio television","Less than 100 DM","yes registered under the customers name","true"
48,"Less than 0 DM",1024,"delay in paying off in the past",24,"own",4,"skilled employee official",1,1,"stores","male married widowed","Less than 1 year",4,"real estate","radio television","Less than 100 DM","none","false"
26,"no checking account",1076,"existing credits paid back duly till now",12,"own",2,"skilled employee official",1,1,"none","male married widowed","1 to 4 years",2,"real estate","business","Less than 100 DM","yes registered under the customers name","true"
28,"0 to 200 DM",9398,"existing credits paid back duly till now",36,"rent",1,"management self-employed highly qualified employee officer",1,1,"none","male married widowed","Less than 1 year",4,"car or other not in attribute 6","used car","Less than 100 DM","yes registered under the customers name","false"
44,"Less than 0 DM",6419,"critical account other credits existing (not at this bank)",24,"for free",2,"management self-employed highly qualified employee officer",2,2,"none","female divorced separated married","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","yes registered under the customers name","true"
56,"Greater than 200 DM",4796,"critical account other credits existing (not at this bank)",42,"for free",4,"skilled employee official",1,1,"none","male single","Greater than 7 years",4,"unknown / no property","used car","Less than 100 DM","none","true"
46,"no checking account",7629,"critical account other credits existing (not at this bank)",48,"own",4,"management self-employed highly qualified employee officer",2,2,"bank","male divorced separated","Greater than 7 years",2,"car or other not in attribute 6","business","unknown no savings account","none","true"
26,"0 to 200 DM",9960,"existing credits paid back duly till now",48,"own",1,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",2,"car or other not in attribute 6","furniture equipment","Less than 100 DM","yes registered under the customers name","false"
20,"no checking account",4675,"existing credits paid back duly till now",12,"rent",1,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","used car","unknown no savings account","none","true"
45,"no checking account",1287,"existing credits paid back duly till now",10,"own",4,"unskilled - resident",1,1,"none","male single","Greater than 7 years",2,"building society savings agreement life insurance","new car","unknown no savings account","none","true"
43,"no checking account",2515,"existing credits paid back duly till now",18,"own",3,"skilled employee official",1,1,"none","male single","1 to 4 years",4,"real estate","furniture equipment","Less than 100 DM","yes registered under the customers name","true"
32,"0 to 200 DM",2745,"critical account other credits existing (not at this bank)",21,"own",3,"skilled employee official",1,2,"none","male single","4 to 7 years",2,"car or other not in attribute 6","furniture equipment","Greater than 1000 DM","yes registered under the customers name","true"
54,"no checking account",672,"existing credits paid back duly till now",6,"own",1,"unemployed unskilled - non-resident",1,1,"none","female divorced separated married","unemployed",4,"real estate","new car","Less than 100 DM","yes registered under the customers name","true"
42,"0 to 200 DM",3804,"no credits taken all credits paid back duly",36,"own",4,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",1,"car or other not in attribute 6","radio television","Less than 100 DM","yes registered under the customers name","false"
37,"Greater than 200 DM",1344,"critical account other credits existing (not at this bank)",24,"own",4,"unskilled - resident",2,2,"bank","male single","4 to 7 years",2,"real estate","new car","unknown no savings account","none","false"
49,"Less than 0 DM",1038,"critical account other credits existing (not at this bank)",10,"own",4,"skilled employee official",1,2,"none","male single","4 to 7 years",3,"building society savings agreement life insurance","new car","Less than 100 DM","yes registered under the customers name","true"
44,"no checking account",10127,"critical account other credits existing (not at this bank)",48,"for free",2,"skilled employee official",1,1,"bank","male single","1 to 4 years",2,"unknown / no property","new car","500 to 1000 DM","none","false"
33,"no checking account",1543,"existing credits paid back duly till now",6,"own",4,"skilled employee official",1,1,"none","male divorced separated","1 to 4 years",2,"real estate","furniture equipment","Greater than 1000 DM","none","true"
24,"no checking account",4811,"existing credits paid back duly till now",30,"rent",2,"unskilled - resident",1,1,"stores","female divorced separated married","4 to 7 years",4,"building society savings agreement life insurance","used car","unknown no savings account","none","true"
33,"Less than 0 DM",727,"existing credits paid back duly till now",12,"own",4,"unskilled - resident",1,1,"none","male married widowed","Less than 1 year",3,"unknown / no property","radio television","100 to 500 DM","yes registered under the customers name","false"
24,"0 to 200 DM",1237,"existing credits paid back duly till now",8,"own",3,"skilled employee official",1,1,"none","female divorced separated married","1 to 4 years",4,"real estate","furniture equipment","Less than 100 DM","none","false"
22,"0 to 200 DM",276,"existing credits paid back duly till now",9,"rent",4,"unskilled - resident",1,1,"none","male married widowed","1 to 4 years",4,"real estate","new car","Less than 100 DM","none","true"
40,"0 to 200 DM",5381,"existing credits paid back duly till now",48,"for free",3,"unemployed unskilled - non-resident",1,1,"bank","male single","unemployed",4,"unknown / no property","used car0","unknown no savings account","yes registered under the customers name","true"
25,"no checking account",5511,"existing credits paid back duly till now",24,"own",4,"skilled employee official",1,1,"stores","male single","1 to 4 years",1,"car or other not in attribute 6","furniture equipment","100 to 500 DM","none","true"
26,"Greater than 200 DM",3749,"existing credits paid back duly till now",24,"own",2,"skilled employee official",1,1,"none","female divorced separated married","Less than 1 year",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","true"
25,"0 to 200 DM",685,"existing credits paid back duly till now",12,"own",2,"unskilled - resident",1,1,"bank","male married widowed","4 to 7 years",3,"car or other not in attribute 6","new car","Less than 100 DM","none","false"
29,"Greater than 200 DM",1494,"existing credits paid back duly till now",4,"own",1,"unskilled - resident",2,1,"none","male single","Less than 1 year",2,"real estate","new car","unknown no savings account","none","true"
31,"Less than 0 DM",2746,"all credits at this bank paid back duly",36,"own",4,"skilled employee official",1,1,"bank","male single","Greater than 7 years",4,"car or other not in attribute 6","furniture equipment","Less than 100 DM","none","false"
38,"Less than 0 DM",708,"existing credits paid back duly till now",12,"own",2,"unskilled - resident",2,1,"none","male single","1 to 4 years",3,"building society savings agreement life insurance","furniture equipment","Less than 100 DM","none","true"
48,"0 to 200 DM",4351,"existing credits paid back duly till now",24,"own",1,"unskilled - resident",1,1,"none","female divorced separated married","1 to 4 years",4,"building society savings agreement life insurance","furniture equipment","unknown no savings account","yes registered under the customers name","true"
32,"no checking account",701,"critical account other credits existing (not at this bank)",12,"own",4,"skilled employee official",1,2,"none","male single","1 to 4 years",2,"car or other not in attribute 6","education","Less than 100 DM","none","true"
